University,Location Name,Current Location,Current College,Original
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Mechanical Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University ,Jawaharlal Nehru Technological University,Texas Tech University,Electrical & Electronics Engineering,India
Jawaharlal Nehru Technological University - CMR College of Engineering & Technology,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University - G Narayanamma Institute of Technology & Science,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University - Malla Reddy College of Engineering & Technology,Jawaharlal Nehru Technological University,Texas Tech University,Information Technology,India
Jawaharlal Nehru Technological University - Malla Reddy Engineering College for Women,Jawaharlal Nehru Technological University,Texas Tech University,Information Technology,India
Jawaharlal Nehru Technological University - Sree Vidyanikethan Engineering College,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Systems Engineering,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Anantapuramu (N04117),Jawaharlal Nehru Technological University Anantapuramu,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad - Anurag Groups of Institutions,Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University Hyderabad - BV Raju Institute of Technology,Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University Hyderabad - Institute of Aeronautical Engineering,Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University Hyderabad - Institute of Aeronautical Engineering,Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University Hyderabad - Vardhaman College of Engineering,Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Information Technology,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Civil,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Electrical and Electronics,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Electrical and Electronics,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Hyderabad (N01035),Jawaharlal Nehru Technological University Hyderabad,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Kakinada - Aditya Institute of Technology & Management,Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University Kakinada - Prasad Potluri Siddhartha Institute of Technology,Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University Kakinada - QIS College of Engineering & Technology,Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Data and Information Sciences,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Data and Information Sciences,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Electrical and Electronics,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Electrical and Electronics,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Other,India
